"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPRE_RA","POPRE_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
2015,"MUNICIPIO",220050,17312,17135,8317,8818,4682,8534,3919,2337,4378,2103,NA,0.598,NA,NA,309,234,234,7,67,81,75,55,17,6,1,0,302,20,24,30,25.05,6.57,10,40,100,0,3,17,11,45,3,234,0,122,179,112,197,301,6,0,1,1,287,0,20,289,0,20,38,39,40,38.83,2.32,0,91,47,36,99,196,113,202,107,294,6,1,72,20,95,18,45,2,4,6,1,38,308,1,0,0,0,164,144,11,45,3,234,0,22,256,31,3000,3300,3600,3287.83,567.28,18,234,46,3,304,9.55,0.95,1,303,120,0,0,19,101,4,18,50,5,24,71,49,2,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34,NA,70.58,6.93,0,0,0,9.71,9.71,0,9.71
2015,"MUNICIPIO",220060,6692,6672,3235,3437,1699,3253,1720,826,1678,933,NA,0.63,NA,NA,90,58,58,1,20,15,25,19,7,3,0,0,89,20,26,31,26.01,6.87,4,5,29,0,2,6,5,7,0,69,1,26,61,21,69,88,2,0,1,1,78,0,9,80,0,9,38,39,40,38.91,2.72,0,23,6,13,34,90,0,55,35,82,1,1,17,2,34,4,15,0,1,1,1,8,90,0,0,0,0,47,43,5,7,0,69,1,6,76,8,2897.5,3337.5,3682.5,3269.22,616.9,6,63,14,1,83,9.77,0.84,0,88,43,0,0,7,36,1,6,14,3,12,21,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.811,NA,53.64,6.43,0,0,0,0,0,0,0
2015,"MUNICIPIO",220070,9597,9098,4642,4456,2613,4958,1527,1257,2424,775,NA,0.594,NA,NA,144,113,113,2,45,45,25,19,4,4,0,0,142,18.75,22,27,23.41,6.25,3,11,54,0,3,7,6,4,0,132,0,40,102,70,74,142,2,0,0,1,141,0,2,142,0,2,38,39,40,38.75,1.63,0,30,5,16,91,144,0,44,100,137,5,1,60,2,38,4,25,2,1,2,1,8,143,1,0,0,0,74,70,6,4,0,132,0,5,129,10,3047.5,3250,3657.25,3301.6,471.86,6,114,22,0,120,9.43,0.67,1,143,40,0,0,5,35,2,4,15,3,11,19,21,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.086,NA,59.41,4.17,0,41.25,0,6.94,6.94,0,6.94
2015,"MUNICIPIO",220080,3103,3039,1558,1481,809,1561,669,396,754,331,NA,0.62,NA,NA,35,24,24,0,4,12,13,4,1,0,1,0,35,21,25,28.5,25.11,5.9,0,2,13,0,3,1,0,0,1,31,0,15,19,10,25,35,0,0,1,0,33,0,1,34,0,1,38,39,40,38.43,3.02,0,3,2,1,27,34,1,19,16,35,0,0,7,1,11,3,6,0,0,0,0,7,34,1,0,0,0,16,19,0,0,1,31,0,4,30,1,3023.5,3230,3439,3166.29,638.27,2,29,3,0,29,9.48,0.69,0,35,17,0,0,1,16,1,3,6,2,4,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.966,NA,46.42,5.48,0,0,0,0,0,0,0
2015,"MUNICIPIO",220090,5763,5779,2863,2916,1470,2880,1429,756,1419,741,NA,0.583,NA,NA,75,64,64,0,14,23,13,17,6,2,0,0,75,21,25,31,25.81,6.67,1,11,16,0,2,6,7,2,0,65,0,28,47,33,42,73,2,0,1,0,63,0,9,64,0,9,38,40,40,39.32,2.42,0,21,3,7,43,72,3,38,37,72,2,0,29,1,24,2,11,0,2,2,0,1,74,0,1,0,0,39,36,7,2,0,65,0,4,67,4,3052.5,3300,3650,3289.13,506.91,2,58,8,0,73,9.93,0.3,0,75,36,0,0,2,34,0,6,13,3,12,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.192,NA,52.85,6.25,0,0,0,0,0,0,0
2015,"MUNICIPIO",220095,2460,2440,1273,1167,535,1300,605,240,621,306,NA,0.519,NA,NA,42,38,38,0,8,15,13,4,2,0,0,0,42,21,24,27,24.55,4.96,0,5,12,0,0,0,8,1,0,32,0,19,23,16,26,40,2,0,0,0,42,0,0,42,0,0,38,39,40,38.45,1.88,0,11,5,4,19,42,0,10,32,38,3,0,9,6,5,2,15,1,1,2,0,1,42,0,0,0,0,20,22,8,1,0,32,0,3,38,1,2785,3185,3472.5,3123.52,546.23,2,34,4,1,41,8.86,1.12,0,42,17,0,0,5,12,0,3,3,2,4,12,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,67.63,6.91,0,0,0,23.81,23.81,0,23.81
2015,"MUNICIPIO",220100,4670,4688,2316,2372,1366,2367,955,647,1204,521,NA,0.56,NA,NA,54,45,45,2,12,15,15,8,1,1,0,0,52,19.25,23,29,23.96,6.14,0,7,17,0,1,4,1,1,1,46,0,29,25,28,26,54,0,0,0,0,51,0,3,51,0,3,38,39,41,39.04,2,0,8,6,1,36,54,0,29,25,53,1,0,22,4,12,1,9,0,1,0,0,5,54,0,0,0,0,26,28,1,1,1,46,0,6,46,2,2872.5,3130,3491,3157.59,498.03,5,46,2,3,51,9.26,1.54,1,53,28,0,0,5,23,0,2,11,4,6,16,12,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,NA,44.85,6,0,0,0,18.52,18.52,0,18.52
2015,"MUNICIPIO",220105,7686,7503,3825,3678,2613,3658,1232,1224,1826,628,NA,0.499,NA,NA,151,105,105,3,34,43,35,17,14,5,0,0,148,20,24,29,25.04,6.94,8,29,64,0,2,1,12,13,0,121,0,57,86,44,107,143,8,0,0,0,139,0,12,139,0,12,38,39,40,38.78,2.23,0,33,9,17,74,146,5,116,35,140,8,0,30,3,58,13,14,3,3,8,0,16,141,7,2,1,0,75,76,12,13,0,122,0,12,128,11,3000,3270,3617.5,3217.88,608.09,15,103,22,0,136,9.85,0.41,0,150,32,0,0,5,27,0,1,11,3,12,19,13,3,0,6,6,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.378,NA,82.69,4.16,0,54.76,0,39.74,39.74,0,39.74
2015,"MUNICIPIO",220110,11433,11067,5581,5486,3220,5649,2198,1552,2811,1123,NA,0.554,NA,NA,159,77,77,4,48,48,28,18,11,2,0,0,155,18,21,27,23.4,6.6,2,15,62,0,3,4,10,3,0,126,0,47,108,60,99,157,2,0,0,1,141,0,16,142,0,16,38,39,41,39.34,2.07,0,33,19,26,59,108,51,83,76,131,6,1,40,10,31,12,28,1,5,2,1,7,152,7,0,0,0,93,66,10,3,0,144,0,9,134,16,3064,3360,3662.5,3337.72,494.52,12,117,18,0,118,9.42,0.54,0,152,69,0,0,3,66,3,6,31,9,17,41,28,1,0,3,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.873,NA,56.56,6.04,0,0,0,18.87,12.58,6.29,18.87
2015,"MUNICIPIO",220115,11218,10516,5468,5048,3674,5507,1335,1769,2629,650,NA,0.564,NA,NA,283,207,207,6,90,79,63,31,11,3,0,0,277,18,22,27,23.07,6,1,35,108,0,14,13,37,28,2,201,0,83,196,108,175,274,9,0,0,5,267,0,7,272,0,7,38,39,40,38.55,2.2,0,82,45,44,105,67,216,131,152,263,7,0,76,12,88,12,43,2,3,9,0,22,277,4,2,0,0,157,126,37,28,2,201,0,19,224,40,2987.5,3300,3700,3318.5,590.26,11,203,52,4,236,9.53,1.07,1,282,51,0,0,12,39,0,1,21,2,15,37,14,4,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.481,NA,107.65,4.55,0,0,0,7.07,3.53,3.53,7.07
