"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"MUNICIPIO",220735,20,0,0,0,20,1,1,12,3,3,7,13,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2015,"MUNICIPIO",220740,21,0,0,1,20,0,0,11,4,5,10,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220750,66,0,0,9,57,0,6,28,7,16,34,32,4,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",220755,21,0,0,2,19,0,0,12,3,4,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220760,52,0,0,7,45,2,7,19,6,11,36,16,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220770,1015,0,0,112,903,45,151,252,111,344,545,470,45,0,37,36,1,0,1,9,0,0,19,0,3,1,0,0,1,1,2,2,0,0,0,0,1,1
2015,"MUNICIPIO",220775,17,0,0,3,14,0,3,8,0,3,11,6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220777,40,0,0,9,31,1,6,18,0,6,27,13,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220779,19,0,0,1,18,1,4,7,1,5,10,9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220780,126,0,0,15,111,5,10,37,12,47,74,52,5,0,8,8,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220785,20,0,0,0,20,0,2,14,1,3,8,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220790,234,0,0,30,204,6,31,65,19,83,141,93,5,0,7,7,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220793,11,0,0,2,9,0,0,6,0,3,5,6,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220795,25,0,0,2,23,1,5,9,4,4,11,14,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220800,515,0,0,67,448,24,67,148,62,147,277,237,27,0,18,17,1,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220810,67,0,0,4,63,2,17,20,5,19,36,31,2,0,4,4,0,0,1,0,0,0,3,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
2015,"MUNICIPIO",220820,102,0,0,16,86,4,21,35,8,18,56,46,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220830,190,0,0,30,160,4,23,68,22,43,118,72,9,0,7,7,0,0,0,1,1,0,4,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",220840,425,0,0,46,379,8,64,140,57,110,240,185,19,0,19,18,1,0,0,2,0,0,14,0,2,0,0,0,2,0,2,2,0,0,0,1,0,0
2015,"MUNICIPIO",220850,59,0,0,9,50,0,10,21,4,15,37,22,1,0,7,7,0,0,0,0,0,0,6,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
2015,"MUNICIPIO",220855,11,0,0,3,8,0,2,3,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220860,22,0,0,2,20,0,1,8,2,9,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220865,56,0,0,8,48,1,2,23,4,18,22,34,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220870,40,0,0,5,35,2,4,13,2,14,28,12,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220880,129,0,0,15,114,2,19,59,5,29,69,60,9,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220885,22,0,0,0,22,2,0,2,0,18,15,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220887,15,0,0,2,13,0,1,8,1,3,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220890,30,0,0,7,23,0,3,6,6,8,19,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220900,42,0,0,7,35,2,5,17,6,5,22,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220910,46,0,0,6,40,1,8,23,1,7,24,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220915,23,0,0,5,18,0,4,11,0,3,11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220920,30,0,0,4,26,2,4,9,2,9,20,9,5,0,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
2015,"MUNICIPIO",220930,35,0,0,9,26,0,6,11,2,7,15,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220935,44,0,0,6,38,0,6,17,7,8,33,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220937,25,0,0,2,23,0,3,7,1,12,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220940,41,0,0,3,38,2,6,21,4,5,17,24,2,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,1,0,1,0,0,0,0
2015,"MUNICIPIO",220945,9,0,0,0,9,0,1,7,0,1,8,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220950,24,0,0,1,23,2,4,5,2,10,10,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220955,29,0,0,1,28,0,1,16,1,10,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220960,18,0,0,2,16,0,1,6,3,6,12,6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220965,41,0,0,3,38,0,4,21,1,12,24,17,3,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220970,45,0,0,7,38,3,4,14,5,12,25,20,3,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220975,12,0,0,2,10,0,1,3,0,6,7,5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220980,16,0,0,2,14,0,3,4,1,6,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220985,36,0,0,2,34,0,9,13,2,10,21,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220987,23,0,0,3,20,0,4,7,4,5,12,11,3,0,1,1,0,0,1,0,0,0,1,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0
