"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO",2202711,"4621",4525,2207,2318,1220,2308,997,598,1198,522
2015,"MUNICIPIO",2202729,"6028",5572,2797,2775,1602,2962,1008,791,1479,505
2015,"MUNICIPIO",2202737,"3930",3811,1970,1841,1032,1972,807,490,941,410
2015,"MUNICIPIO",2202752,"6314",6036,2963,3073,1797,3091,1148,907,1586,580
2015,"MUNICIPIO",2202778,"7527",7433,3701,3732,2045,3893,1495,1004,1935,793
2015,"MUNICIPIO",2202802,"4536",4475,2247,2228,1236,2221,1018,592,1106,530
2015,"MUNICIPIO",2202851,"4602",4541,2378,2163,1170,2400,971,551,1118,494
2015,"MUNICIPIO",2202901,"26084",25407,12844,12563,7753,13355,4299,3757,6606,2200
2015,"MUNICIPIO",2203008,"8102",7831,4087,3744,2488,3879,1464,1189,1836,719
2015,"MUNICIPIO",2203107,"10214",9981,5036,4945,3003,5151,1827,1457,2529,959
2015,"MUNICIPIO",2203206,"11121",10761,5455,5306,3280,5503,1978,1604,2702,1000
2015,"MUNICIPIO",2203230,"4845",4704,2473,2231,1514,2313,877,727,1067,437
2015,"MUNICIPIO",2203255,"4337",4183,2144,2039,1248,2102,833,589,1027,423
2015,"MUNICIPIO",2203271,"5086",4869,2531,2338,1653,2497,719,791,1199,348
2015,"MUNICIPIO",2203305,"13552",13278,6477,6801,3495,6987,2796,1740,3543,1518
2015,"MUNICIPIO",2203354,"6862",6675,3403,3272,1736,3530,1409,861,1675,736
2015,"MUNICIPIO",2203404,"6756",6569,3221,3348,1577,3599,1393,783,1832,733
2015,"MUNICIPIO",2203420,"4290",4264,2156,2108,1330,2069,865,661,1010,437
2015,"MUNICIPIO",2203453,"9387",9245,4733,4512,2422,4834,1989,1181,2327,1004
2015,"MUNICIPIO",2203503,"14432",14512,7148,7364,3386,7523,3603,1634,3774,1956
2015,"MUNICIPIO",2203602,"4807",4665,2402,2263,1193,2345,1127,548,1122,593
2015,"MUNICIPIO",2203701,"38874",37767,18776,18991,10290,20285,7192,5049,10096,3846
2015,"MUNICIPIO",2203750,"5199",5074,2574,2500,1463,2604,1007,727,1263,510
2015,"MUNICIPIO",2203800,"4394",4366,2219,2147,1244,2171,951,609,1066,472
2015,"MUNICIPIO",2203859,"2515",2482,1272,1210,611,1266,605,260,640,310
2015,"MUNICIPIO",2203909,"58803",57690,27309,30381,13990,32439,11261,6898,16979,6504
2015,"MUNICIPIO",2204006,"5267",5235,2558,2677,1397,2562,1276,683,1337,657
2015,"MUNICIPIO",2204105,"4333",4477,2221,2256,1144,2163,1170,556,1085,615
2015,"MUNICIPIO",2204154,"3097",2879,1436,1443,729,1604,546,374,784,285
2015,"MUNICIPIO",2204204,"9054",8592,4383,4209,2151,4694,1747,1030,2294,885
2015,"MUNICIPIO",2204303,"11372",11117,5478,5639,2915,5983,2219,1422,3020,1197
2015,"MUNICIPIO",2204352,"5319",5475,2776,2699,1486,2895,1094,704,1435,560
2015,"MUNICIPIO",2204402,"10514",10402,5213,5189,3351,5221,1830,1680,2563,946
2015,"MUNICIPIO",2204501,"10338",10268,5088,5180,2760,5494,2014,1365,2735,1080
2015,"MUNICIPIO",2204550,"4478",4401,2216,2185,1519,2291,591,748,1130,307
2015,"MUNICIPIO",2204600,"3813",3771,1839,1932,1007,1941,823,525,985,422
2015,"MUNICIPIO",2204659,"9211",8914,4557,4357,2638,4576,1700,1277,2190,890
2015,"MUNICIPIO",2204709,"15044",14845,7319,7526,3876,7749,3220,1905,3927,1694
2015,"MUNICIPIO",2204808,"9599",9327,4595,4732,2467,4915,1945,1229,2476,1027
2015,"MUNICIPIO",2204907,"8408",8221,4120,4101,2403,4254,1564,1214,2081,806
2015,"MUNICIPIO",2205003,"11354",11109,5545,5564,2564,5769,2776,1233,2873,1458
2015,"MUNICIPIO",2205102,"10828",10678,5385,5293,2733,5600,2345,1354,2714,1225
2015,"MUNICIPIO",2205151,"5682",5722,2904,2818,1441,3154,1127,718,1551,549
2015,"MUNICIPIO",2205201,"18660",18035,8800,9235,5135,9313,3587,2562,4776,1897
2015,"MUNICIPIO",2205250,"4412",4309,2182,2127,1166,2227,916,559,1099,469
2015,"MUNICIPIO",2205276,"4767",4656,2423,2233,1130,2368,1158,548,1129,556
2015,"MUNICIPIO",2205300,"4392",4390,2221,2169,1203,2262,925,587,1095,487
2015,"MUNICIPIO",2205359,"2965",2960,1571,1389,750,1644,566,377,735,277
2015,"MUNICIPIO",2205409,"14083",13817,7154,6663,4131,7277,2409,2019,3470,1174
2015,"MUNICIPIO",2205458,"5308",5100,2665,2435,1523,2749,828,733,1298,404
2015,"MUNICIPIO",2205508,"38314",37085,18522,18563,9943,20009,7133,4883,10007,3673
2015,"MUNICIPIO",2205516,"5380",4757,2419,2338,1425,2410,922,688,1171,479
2015,"MUNICIPIO",2205524,"5510",5373,2800,2573,1629,2716,1028,769,1292,512
2015,"MUNICIPIO",2205532,"4657",4517,2354,2163,1248,2434,835,587,1160,416
2015,"MUNICIPIO",2205540,"2772",2656,1339,1317,742,1325,589,322,699,296
2015,"MUNICIPIO",2205557,"8330",8008,4124,3884,2436,4086,1486,1145,1990,749
2015,"MUNICIPIO",2205565,"4579",4523,2321,2202,1248,2397,878,604,1148,450
2015,"MUNICIPIO",2205573,"6611",6422,3208,3214,2016,3215,1191,1027,1586,601
2015,"MUNICIPIO",2205581,"3975",3863,1990,1873,1052,2053,758,508,993,372
2015,"MUNICIPIO",2205599,"5047",4850,2463,2387,1323,2460,1067,636,1214,537
2015,"MUNICIPIO",2205607,"5238",5281,2619,2662,1464,2533,1284,697,1302,663
2015,"MUNICIPIO",2205706,"29558",28406,14593,13813,7991,15576,4839,3871,7542,2400
2015,"MUNICIPIO",2205805,"25049",24721,12405,12316,6879,12825,5017,3292,6466,2558
2015,"MUNICIPIO",2205854,"8111",7816,4044,3772,2503,4113,1200,1195,1972,605
2015,"MUNICIPIO",2205904,"5263",5213,2701,2512,1424,2738,1051,693,1291,528
2015,"MUNICIPIO",2205953,"8249",7812,3867,3945,2414,4173,1225,1198,2126,621
2015,"MUNICIPIO",2206001,"4481",4456,2219,2237,1198,2255,1003,573,1118,546
2015,"MUNICIPIO",2206050,"6323",6220,3152,3068,1697,3158,1365,843,1530,695
2015,"MUNICIPIO",2206100,"10718",10473,5266,5207,3259,5359,1855,1601,2636,970
2015,"MUNICIPIO",2206209,"33075",32289,16359,15930,10780,15790,5719,5247,7729,2954
2015,"MUNICIPIO",2206308,"1235",1253,657,596,377,632,244,164,310,122
2015,"MUNICIPIO",2206357,"6517",6769,3441,3328,2018,3441,1310,1009,1709,610
2015,"MUNICIPIO",2206407,"10410",10333,5105,5228,2634,5378,2321,1333,2693,1202
2015,"MUNICIPIO",2206506,"7586",7391,3715,3676,1835,3925,1631,886,1960,830
2015,"MUNICIPIO",2206605,"10444",10345,5285,5060,3319,5286,1740,1644,2521,895
2015,"MUNICIPIO",2206654,"4073",4068,2061,2007,1335,2057,676,672,998,337
2015,"MUNICIPIO",2206670,"6657",6499,3323,3176,1998,3331,1170,974,1618,584
2015,"MUNICIPIO",2206696,"8903",8464,4422,4042,2779,4277,1408,1373,1989,680
2015,"MUNICIPIO",2206704,"7261",7321,3667,3654,1970,3602,1749,948,1787,919
2015,"MUNICIPIO",2206720,"8366",8068,4085,3983,2369,4063,1636,1148,1982,853
2015,"MUNICIPIO",2206753,"4747",4556,2331,2225,1073,2345,1138,515,1137,573
2015,"MUNICIPIO",2206803,"8491",8206,4077,4129,2613,4220,1373,1302,2105,722
2015,"MUNICIPIO",2206902,"6483",6498,3234,3264,1623,3273,1602,784,1602,878
2015,"MUNICIPIO",2206951,"3387",3260,1672,1588,868,1631,761,427,797,364
2015,"MUNICIPIO",2207009,"36329",35640,17041,18599,9665,18836,7139,4819,9844,3936
2015,"MUNICIPIO",2207108,"2400",2626,1308,1318,809,1276,541,406,637,275
2015,"MUNICIPIO",2207207,"6748",6657,3229,3428,1680,3539,1438,840,1838,750
2015,"MUNICIPIO",2207306,"4071",4059,2048,2011,1177,2045,837,559,1025,427
2015,"MUNICIPIO",2207355,"3308",3363,1744,1619,880,1634,849,405,802,412
2015,"MUNICIPIO",2207405,"4980",4993,2571,2422,1529,2562,902,746,1220,456
2015,"MUNICIPIO",2207504,"14206",13745,6781,6964,4168,6749,2828,2141,3367,1456
2015,"MUNICIPIO",2207553,"3900",4147,2143,2004,1080,2157,910,545,1017,442
2015,"MUNICIPIO",2207603,"10561",10276,5459,4817,3415,5197,1664,1621,2390,806
2015,"MUNICIPIO",2207702,"149803",145705,69727,75978,36764,81442,27499,18079,42476,15423
2015,"MUNICIPIO",2207751,"4482",4546,2316,2230,1312,2373,861,636,1159,435
2015,"MUNICIPIO",2207777,"6257",6105,3093,3012,1576,3079,1450,767,1532,713
2015,"MUNICIPIO",2207793,"3937",3757,1935,1822,1129,1782,846,545,860,417
2015,"MUNICIPIO",2207801,"20168",19785,9567,10218,5732,10414,3639,2890,5426,1902
2015,"MUNICIPIO",2207850,"3637",3663,1950,1713,964,1900,799,459,870,384
2015,"MUNICIPIO",2207900,"38055",37496,18443,19053,10934,18513,8049,5298,9524,4231
2015,"MUNICIPIO",2207934,"2481",2407,1251,1156,734,1247,426,351,598,207
2015,"MUNICIPIO",2207959,"4286",4187,2152,2035,1295,2164,728,643,1035,357
2015,"MUNICIPIO",2208007,"76544",73414,35061,38353,17438,42598,13378,8660,22322,7371
2015,"MUNICIPIO",2208106,"11913",11733,5998,5735,3325,5974,2434,1599,2927,1209
2015,"MUNICIPIO",2208205,"18061",17671,8820,8851,4883,9576,3212,2366,4814,1671
2015,"MUNICIPIO",2208304,"28160",27553,13628,13925,7405,14778,5370,3706,7409,2810
2015,"MUNICIPIO",2208403,"62650",61834,30138,31696,15914,32643,13277,7722,16821,7153
2015,"MUNICIPIO",2208502,"12284",11897,6009,5888,4100,5933,1864,2011,2894,983
2015,"MUNICIPIO",2208551,"2647",2559,1324,1235,757,1339,463,390,626,219
2015,"MUNICIPIO",2208601,"3106",3085,1551,1534,825,1456,804,395,725,414
2015,"MUNICIPIO",2208650,"8796",8553,4280,4273,2279,4589,1685,1154,2229,890
2015,"MUNICIPIO",2208700,"8600",8400,4223,4177,2763,4190,1447,1353,2054,770
2015,"MUNICIPIO",2208809,"17697",17556,8590,8966,4795,9046,3715,2316,4618,2032
2015,"MUNICIPIO",2208858,"4252",4241,2220,2021,1367,2178,696,655,1022,344
2015,"MUNICIPIO",2208874,"4381",4263,2138,2125,1253,2194,816,628,1085,412
2015,"MUNICIPIO",2208908,"7151",6845,3511,3334,2193,3554,1098,1110,1668,556
2015,"MUNICIPIO",2209005,"6329",6273,3113,3160,1658,3190,1425,859,1568,733
2015,"MUNICIPIO",2209104,"6127",6027,2973,3054,1512,3111,1404,771,1528,755
2015,"MUNICIPIO",2209153,"3926",3794,1884,1910,1059,1939,796,517,983,410
2015,"MUNICIPIO",2209203,"6153",6096,3217,2879,2082,3053,961,1018,1383,478
2015,"MUNICIPIO",2209302,"5719",5513,2868,2645,1663,2822,1028,818,1308,519
2015,"MUNICIPIO",2209351,"4544",4917,2399,2518,1216,2602,1099,647,1301,570
2015,"MUNICIPIO",2209377,"5178",5149,2582,2567,1437,2592,1120,680,1295,592
2015,"MUNICIPIO",2209401,"6244",6007,2976,3031,1547,3099,1361,752,1574,705
2015,"MUNICIPIO",2209450,"2115",2059,1023,1036,649,1030,380,323,514,199
