ANO,NIVEL,CODMUNRES,IDHM_A,IDHM_CA,IDHM_CA_M,IDHM_CA_F
2015,MUNICIPIO,2204659,NA,0.563,NA,NA
2015,MUNICIPIO,2204709,NA,0.624,NA,NA
2015,MUNICIPIO,2204808,NA,0.63,NA,NA
2015,MUNICIPIO,2204907,NA,0.582,NA,NA
2015,MUNICIPIO,2205003,NA,0.541,NA,NA
2015,MUNICIPIO,2205102,NA,0.583,NA,NA
2015,MUNICIPIO,2205151,NA,0.535,NA,NA
2015,MUNICIPIO,2205201,NA,0.524,NA,NA
2015,MUNICIPIO,2205250,NA,0.593,NA,NA
2015,MUNICIPIO,2205276,NA,0.566,NA,NA
2015,MUNICIPIO,2205300,NA,0.591,NA,NA
2015,MUNICIPIO,2205359,NA,0.561,NA,NA
2015,MUNICIPIO,2205409,NA,0.522,NA,NA
2015,MUNICIPIO,2205458,NA,0.504,NA,NA
2015,MUNICIPIO,2205508,NA,0.618,NA,NA
2015,MUNICIPIO,2205516,NA,0.57,NA,NA
2015,MUNICIPIO,2205524,NA,0.582,NA,NA
2015,MUNICIPIO,2205532,NA,0.555,NA,NA
2015,MUNICIPIO,2205557,NA,0.55,NA,NA
2015,MUNICIPIO,2205573,NA,0.529,NA,NA
2015,MUNICIPIO,2205565,NA,0.502,NA,NA
2015,MUNICIPIO,2205581,NA,0.583,NA,NA
2015,MUNICIPIO,2205599,NA,0.541,NA,NA
2015,MUNICIPIO,2205540,NA,0.597,NA,NA
2015,MUNICIPIO,2205607,NA,0.584,NA,NA
2015,MUNICIPIO,2205706,NA,0.541,NA,NA
2015,MUNICIPIO,2205805,NA,0.545,NA,NA
2015,MUNICIPIO,2205854,NA,0.563,NA,NA
2015,MUNICIPIO,2205904,NA,0.573,NA,NA
2015,MUNICIPIO,2205953,NA,0.562,NA,NA
2015,MUNICIPIO,2206001,NA,0.59,NA,NA
2015,MUNICIPIO,2206050,NA,0.525,NA,NA
2015,MUNICIPIO,2206100,NA,0.562,NA,NA
2015,MUNICIPIO,2206209,NA,0.539,NA,NA
2015,MUNICIPIO,2206308,NA,0.623,NA,NA
2015,MUNICIPIO,2206357,NA,0.508,NA,NA
2015,MUNICIPIO,2206407,NA,0.615,NA,NA
2015,MUNICIPIO,2206506,NA,0.561,NA,NA
